"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?keyword/@label ","must exist: ?keyword/@id  ","variable ?keyword/@label ","variable ?keyword/@id "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","mylyn tasks ","org.eclipse.mylyn.tasks.ui.keywords            "
"    org.tigris.subversion.subclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%PreferenceKeywords.SVN ","org.tigris.subversion.subclipse.ui.svn            "
"    org.eclipse.wst.internet.monitor.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords ","org.eclipse.wst.internet.monitor.preferenceKeywords            "
"    org.eclipse.team.cvs.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%PreferenceKeywords.CVS ","org.eclipse.team.cvs.ui.cvs            "
"    org.eclipse.ui.ide","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%PreferenceKeywords.Editing ","org.eclipse.ui.ide.editing            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.jdt.ui.general            "
"    org.eclipse.mylyn.resources.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","mylyn resources ","org.eclipse.mylyn.resources.ui.keywords            "
"    org.eclipse.team.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%PreferenceKeywords.Team ","org.eclipse.team.ui.team            "
"    org.eclipse.wst.server.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceServerKeywords ","org.eclipse.wst.server.preferenceKeywords            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.files ","org.eclipse.wst.html.ui.files            "
"    org.eclipse.jst.jsp.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.files ","org.eclipse.jst.jsp.ui.files            "
"    org.eclipse.wst.sse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.todo ","org.eclipse.wst.sse.ui.todo            "
"    org.eclipse.ui.editors","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.ui.editors.general            "
"    org.eclipse.jdt.junit","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.jdt.junit.JUnit            "
"    org.eclipse.update.scheduler","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.update.scheduler.general            "
"    org.eclipse.ltk.ui.refactoring","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%RefactoringPropertyPage_keywords ","org.eclipse.ltk.ui.refactoring.property.page            "
"    org.eclipse.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.debug.ui.general            "
"    org.eclipse.mylyn.team.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","mylyn team ","org.eclipse.mylyn.team.ui.keywords            "
"    org.eclipse.ecf.example.collab","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","collab chat ecf ","org.eclipse.ecf.example.collab.ui.keywords            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.wst.jsdt.ui.general            "
